SubjectId, ArticleId, Interface, Order, Posture, ReadingSpeed
P01, Marathon Monks, StaticSmall, 1, walking, 136.6184
P01, Marathon Monks, StaticSmall, 1, stationary, 277.1337
P01, History of the Olympics, Automatic, 2, walking, 254.3684
P01, History of the Olympics, Automatic, 2, stationary, 388.3804
P01, Evolution of Technology, Customized, 3, walking, 180.3237
P01, Evolution of Technology, Customized, 3, stationary, 240.9638
P02, History of the Olympics, Automatic, 3, walking, 288.0693
P02, History of the Olympics, Automatic, 3, stationary, 140.3102
P02, Domestication of Cats, Customized, 2, walking, 101.1148
P02, Domestication of Cats, Customized, 2, stationary, 196.2146
P03, Carthage, Customized, 3, walking, 241.9265
P03, Carthage, Customized, 3, stationary, 350.6038
P04, Spies and Secret Agents, StaticSmall, 1, walking, 388.4814
P04, Spies and Secret Agents, StaticSmall, 1, stationary, 267.0138
P04, Hummingbirds, Automatic, 3, walking, 294.5033
P04, Hummingbirds, Automatic, 3, stationary, 244.8967
P05, Star Wars, Automatic, 2, walking, 131.3788
P05, Star Wars, Automatic, 2, stationary, 264.8212
P05, Evolution of Technology, Customized, 3, walking, 336.9729
P05, Evolution of Technology, Customized, 3, stationary, 275.4979
P06, History of the Olympics, StaticSmall, 1, walking, 208.6773
P06, History of the Olympics, StaticSmall, 1, stationary, 338.5634
P06, Marathon Monks, Automatic, 3, walking, 308.4333
P06, Marathon Monks, Automatic, 3, stationary, 427.2187
P06, Carthage, Customized, 2, walking, 161.0796
P06, Carthage, Customized, 2, stationary, 262.6154
P07, Social Media, StaticSmall, 1, walking, 223.7322
P07, Social Media, StaticSmall, 1, stationary, 484.0413
P07, History of Chess, Automatic, 2, walking, 372.6574
P07, History of Chess, Automatic, 2, stationary, 569.8980
P07, History of the Olympics, Customized, 3, walking, 257.7959
P07, History of the Olympics, Customized, 3, stationary, 459.4345
P08, Carthage, StaticSmall, 1, walking, 205.2921
P08, Carthage, StaticSmall, 1, stationary, 609.3911
P08, Mushrooms, Customized, 2, walking, 311.1852
P08, Mushrooms, Customized, 2, stationary, 447.3774
P08, Evolution of Technology, StaticBig, 4, walking, 357.9374
P08, Evolution of Technology, StaticBig, 4, stationary, 335.1439
P09, Plankton, StaticSmall, 1, walking, 242.7282
P09, Plankton, StaticSmall, 1, stationary, 281.5279
P09, Mushrooms, Automatic, 2, walking, 187.6066
P09, Mushrooms, Automatic, 2, stationary, 251.1017
P09, Time Travel, Customized, 3, walking, 282.3192
P09, Time Travel, Customized, 3, stationary, 261.1186
P09, Star Wars, StaticBig, 4, walking, 385.3853
P09, Star Wars, StaticBig, 4, stationary, 257.8560
P10, Spies and Secret Agents, Automatic, 3, walking, 264.7042
