SubjectId, ArticleId, Interface, Order, MainIdeaCorrectness
P01, Marathon Monks, StaticSmall, 1, 1
P01, History of the Olympics, Automatic, 2, 1
P01, Evolution of Technology, Customized, 3, 0
P02, Time Travel, StaticSmall, 1, 1
P02, History of the Olympics, Automatic, 3, 0
P02, Domestication of Cats, Customized, 2, 1
P03, Star Wars, StaticSmall, 1, 1
P03, Spies and Secret Agents, Automatic, 2, 0
P03, Carthage, Customized, 3, 1
P04, Spies and Secret Agents, StaticSmall, 1, 1
P04, Hummingbirds, Automatic, 3, 1
P04, Marathon Monks, Customized, 2, 1
P05, Streetcars, StaticSmall, 1, 0
P05, Star Wars, Automatic, 2, 0
P05, Evolution of Technology, Customized, 3, 1
P06, History of the Olympics, StaticSmall, 1, 0
P06, Marathon Monks, Automatic, 3, 1
P06, Carthage, Customized, 2, 1
P07, Social Media, StaticSmall, 1, 0
P07, History of Chess, Automatic, 2, 1
P07, History of the Olympics, Customized, 3, 1
P08, Carthage, StaticSmall, 1, 0
P08, Time Travel, Automatic, 3, 0
P08, Mushrooms, Customized, 2, 1
P08, Evolution of Technology, StaticBig, 4, 0
P09, Plankton, StaticSmall, 1, 1
P09, Mushrooms, Automatic, 2, 1
P09, Time Travel, Customized, 3, 0
P09, Star Wars, StaticBig, 4, 0
P10, Domestication of Cats, StaticSmall, 1, 0
P10, Spies and Secret Agents, Automatic, 3, 1
P10, History of the Olympics, Customized, 2, 0
P10, Hummingbirds, StaticBig, 4, 1
P11, Star Wars, StaticSmall, 1, 1
P11, Plankton, Automatic, 2, 0
P11, Marathon Monks, Customized, 3, 1
P11, Evolution of Technology, StaticBig, 4, 0
P12, Marathon Monks, StaticSmall, 1, 1
P12, Time Travel, Automatic, 3, 1
P12, Mushrooms, Customized, 2, 0
P12, Spies and Secret Agents, StaticBig, 4, 1
P13, History of the Olympics, StaticSmall, 1, 1
P13, Plankton, Automatic, 2, 0
P13, Marathon Monks, Customized, 3, 1
P13, Streetcars, StaticBig, 4, 1
P14, Carthage, StaticSmall, 1, 0
P14, History of Chess, Automatic, 3, 1
P14, Star Wars, Customized, 2, 0
P14, Streetcars, StaticBig, 4, 0
P15, Spies and Secret Agents, StaticSmall, 1, 0
P15, History of the Olympics, Automatic, 2, 1
P15, Evolution of Technology, Customized, 3, 1
P15, History of Chess, StaticBig, 4, 1
P16, Evolution of Technology, StaticSmall, 1, 1
