SubjectId, ArticleId, Interface, Order, PhysicalDemand, MentalDemand, TemporalDemand, Performance, Effort, Frustration
P01, Marathon Monks, StaticSmall, 1, 3, 5, 6, 3, 5, 5
P01, History of the Olympics, Automatic, 2, 4, 5, 5, 5, 5, 5
P01, Evolution of Technology, Customized, 3, 4, 7, 7, 6, 7, 7
P02, Time Travel, StaticSmall, 1, 6, 7, 6, 6, 5, 5
P02, History of the Olympics, Automatic, 3, 3, 3, 4, 3, 2, 3
P02, Domestication of Cats, Customized, 2, 3, 4, 4, 3, 5, 5
P03, Star Wars, StaticSmall, 1, 4, 3, 5, 3, 2, 2
P03, Spies and Secret Agents, Automatic, 2, 3, 3, 3, 2, 2, 3
P03, Carthage, Customized, 3, 3, 3, 4, 3, 2, 3
P04, Spies and Secret Agents, StaticSmall, 1, 4, 3, 4, 5, 5, 4
P04, Hummingbirds, Automatic, 3, 4, 3, 3, 4, 3, 3
P04, Marathon Monks, Customized, 2, 4, 5, 4, 5, 4, 4
P05, Streetcars, StaticSmall, 1, 5, 6, 3, 5, 5, 2
P05, Star Wars, Automatic, 2, 5, 5, 2, 6, 5, 3
P05, Evolution of Technology, Customized, 3, 3, 3, 2, 5, 5, 3
P06, History of the Olympics, StaticSmall, 1, 2, 2, 3, 2, 2, 3
P06, Marathon Monks, Automatic, 3, 1, 2, 1, 2, 1, 1
P06, Carthage, Customized, 2, 1, 2, 1, 2, 1, 1
P07, Social Media, StaticSmall, 1, 4, 5, 5, 5, 5, 5
P07, History of Chess, Automatic, 2, 6, 6, 5, 7, 6, 6
P07, History of the Olympics, Customized, 3, 5, 5, 6, 6, 7, 6
P08, Carthage, StaticSmall, 1, 2, 3, 5, 3, 3, 2
P08, Time Travel, Automatic, 3, 1, 1, 2, 2, 1, 1
P08, Mushrooms, Customized, 2, 2, 1, 3, 2, 2, 1
P08, Evolution of Technology, StaticBig, 4, 1, 1, 2, 2, 1, 1
P09, Plankton, StaticSmall, 1, 3, 5, 5, 5, 6, 4
P09, Mushrooms, Automatic, 2, 4, 3, 5, 5, 5, 4
P09, Time Travel, Customized, 3, 5, 5, 5, 3, 5, 1
P09, Star Wars, StaticBig, 4, 2, 1, 3, 3, 3, 1
P10, Domestication of Cats, StaticSmall, 1, 6, 5, 5, 5, 5, 4
P10, Spies and Secret Agents, Automatic, 3, 3, 3, 4, 4, 5, 4
P10, History of the Olympics, Customized, 2, 4, 4, 3, 4, 5, 3
P10, Hummingbirds, StaticBig, 4, 2, 2, 3, 3, 3, 2
P11, Star Wars, StaticSmall, 1, 4, 5, 5, 4, 5, 1
P11, Plankton, Automatic, 2, 4, 5, 5, 5, 5, 4
P11, Marathon Monks, Customized, 3, 4, 5, 5, 3, 5, 1
P11, Evolution of Technology, StaticBig, 4, 5, 4, 5, 5, 5, 1
P12, Marathon Monks, StaticSmall, 1, 2, 3, 3, 3, 4, 2
P12, Time Travel, Automatic, 3, 2, 2, 2, 2, 2, 2
P12, Mushrooms, Customized, 2, 2, 5, 2, 3, 3, 2
P12, Spies and Secret Agents, StaticBig, 4, 2, 2, 2, 2, 2, 2
P13, History of the Olympics, StaticSmall, 1, 2, 1, 3, 2, 2, 2
P13, Plankton, Automatic, 2, 2, 2, 2, 5, 2, 4
P13, Marathon Monks, Customized, 3, 3, 2, 3, 4, 3, 4
P13, Streetcars, StaticBig, 4, 1, 5, 3, 4, 1, 4
P14, Carthage, StaticSmall, 1, 5, 5, 4, 5, 5, 4
P14, History of Chess, Automatic, 3, 3, 3, 3, 3, 3, 3
P14, Star Wars, Customized, 2, 5, 4, 4, 3, 4, 4
P14, Streetcars, StaticBig, 4, 2, 3, 2, 3, 2, 2
P15, Spies and Secret Agents, StaticSmall, 1, 6, 6, 5, 6, 6, 5
P15, History of the Olympics, Automatic, 2, 5, 5, 5, 3, 5, 4
P15, Evolution of Technology, Customized, 3, 5, 5, 4, 5, 5, 5
P15, History of Chess, StaticBig, 4, 4, 3, 4, 3, 3, 4
P16, Evolution of Technology, StaticSmall, 1, 1, 2, 2, 3, 3, 2
P16, Marathon Monks, Automatic, 3, 2, 2, 2, 3, 2, 2
P16, Time Travel, Customized, 2, 2, 3, 2, 2, 3, 2
