SubjectId, Interface, Order, Rank
P01, StaticSmall, 1, 3
P01, Automatic, 2, 2
P01, Customized, 3, 1
P02, StaticSmall, 1, 3
P02, Automatic, 3, 1
P02, Customized, 2, 2
P03, StaticSmall, 1, 3
P03, Automatic, 2, 1
P03, Customized, 3, 2
P04, StaticSmall, 1, 2
P04, Automatic, 3, 3
P04, Customized, 2, 1
P05, StaticSmall, 1, 2
P05, Automatic, 2, 3
P05, Customized, 3, 1
P07, StaticSmall, 1, 3
P07, Automatic, 2, 2
P07, Customized, 3, 1
P08, StaticSmall, 1, 4
P08, Automatic, 3, 3
P08, Customized, 2, 1
P08, StaticBig, 4, 2
P09, StaticSmall, 1, 3
P09, Automatic, 2, 4
P09, Customized, 3, 2
P09, StaticBig, 4, 1
P10, StaticSmall, 1, 4
P10, Automatic, 3, 3
P10, Customized, 2, 1
P10, StaticBig, 4, 2
P11, StaticSmall, 1, 3
P11, Automatic, 2, 4
P11, Customized, 3, 2
P11, StaticBig, 4, 1
P12, StaticSmall, 1, 4
P12, Automatic, 3, 1
P12, Customized, 2, 3
P12, StaticBig, 4, 2
P13, StaticSmall, 1, 3
P13, Automatic, 2, 2
P13, Customized, 3, 1
P13, StaticBig, 4, 4
P14, StaticSmall, 1, 4
P14, Automatic, 3, 2
P14, Customized, 2, 3
P14, StaticBig, 4, 1
P15, StaticSmall, 1, 4
P15, Automatic, 2, 2
P15, Customized, 3, 3
P15, StaticBig, 4, 1
P16, StaticSmall, 1, 3
P16, Automatic, 3, 1
P16, Customized, 2, 2
P16, StaticBig, 4, 4
P17, StaticSmall, 1, 4
P17, Automatic, 2, 3
P17, Customized, 3, 2
P17, StaticBig, 4, 1
P18, StaticSmall, 1, 2
P18, Automatic, 3, 1
P18, Customized, 2, 4
P18, StaticBig, 4, 3
P19, StaticSmall, 1, 4
P19, Automatic, 2, 2
P19, Customized, 3, 1
P19, StaticBig, 4, 3
P20, StaticSmall, 1, 3
P20, Automatic, 3, 1
P20, Customized, 2, 2
P20, StaticBig, 4, 4
P21, StaticSmall, 1, 3
P21, Automatic, 2, 4
P21, Customized, 3, 2
P21, StaticBig, 4, 1
P22, StaticSmall, 1, 3
P22, Automatic, 3, 2
P22, Customized, 2, 4
P22, StaticBig, 4, 1
P23, StaticSmall, 1, 2
P23, Automatic, 2, 4
P23, Customized, 3, 3
P23, StaticBig, 4, 1
P24, StaticSmall, 1, 4
P24, Automatic, 3, 2
P24, Customized, 2, 3
P24, StaticBig, 4, 1
P25, StaticSmall, 1, 4
P25, Automatic, 2, 1
P25, Customized, 3, 2
P25, StaticBig, 4, 3
P26, StaticSmall, 1, 2
P26, Automatic, 3, 4
P26, Customized, 2, 1
P26, StaticBig, 4, 3
P27, StaticSmall, 1, 3
P27, Automatic, 2, 4
P27, Customized, 3, 1
P27, StaticBig, 4, 2
P28, StaticSmall, 1, 4
P28, Automatic, 3, 2
P28, Customized, 2, 1
P28, StaticBig, 4, 3
P29, StaticSmall, 1, 1
P29, Automatic, 2, 4
P29, Customized, 3, 2
P29, StaticBig, 4, 3
P30, StaticSmall, 1, 4
P30, Automatic, 3, 3
P30, Customized, 2, 1
P30, StaticBig, 4, 2
P31, StaticSmall, 1, 2
P31, Automatic, 2, 4
P31, Customized, 3, 3
P31, StaticBig, 4, 1
P32, StaticSmall, 1, 3
P32, Automatic, 3, 4
P32, Customized, 2, 2
P32, StaticBig, 4, 1
P33, StaticSmall, 1, 3
P33, Automatic, 2, 4
P33, Customized, 3, 1
P33, StaticBig, 4, 2
P34, StaticSmall, 1, 4
P34, Automatic, 3, 2
P34, Customized, 2, 3
P34, StaticBig, 4, 1
P35, StaticSmall, 1, 2
P35, Automatic, 2, 4
P35, Customized, 3, 1
P35, StaticBig, 4, 3
P36, StaticSmall, 1, 3
P36, Automatic, 3, 4
P36, Customized, 2, 2
P36, StaticBig, 4, 1
P37, StaticSmall, 1, 4
P37, Automatic, 2, 3
P37, Customized, 3, 2
P37, StaticBig, 4, 1
P38, StaticSmall, 1, 2
P38, Automatic, 3, 3
P38, Customized, 2, 1
P38, StaticBig, 4, 4
P39, StaticSmall, 1, 4
P39, Automatic, 2, 2
P39, Customized, 3, 1
P39, StaticBig, 4, 3
P40, StaticSmall, 1, 3
P40, Automatic, 3, 4
P40, Customized, 2, 1
P40, StaticBig, 4, 2
P41, StaticSmall, 1, 2
P41, Automatic, 2, 4
P41, Customized, 3, 3
P41, StaticBig, 4, 1
P42, StaticSmall, 1, 3
P42, Automatic, 3, 4
P42, Customized, 2, 2
P42, StaticBig, 4, 1
P43, StaticSmall, 1, 3
P43, Automatic, 2, 2
P43, Customized, 3, 4
P43, StaticBig, 4, 1
P44, StaticSmall, 1, 4
P44, Automatic, 3, 2
P44, Customized, 2, 3
P44, StaticBig, 4, 1
P45, StaticSmall, 1, 3
P45, Automatic, 2, 2
P45, Customized, 3, 1
P45, StaticBig, 4, 4
