SubjectId, Phase, PrefFontSize
P10, before, 20
P10, during, 20
P10, after, 32
P12, before, 14
P12, during, 16
P12, after, 24
P13, before, 12
P13, during, 12
P13, after, 12
P14, before, 20
P14, during, 18
P14, after, 20
P15, before, 14
P15, during, 16
P15, after, 17
P16, before, 14
P16, during, 16
P16, after, 17
P17, before, 24
P17, during, 24
P17, after, 28
P18, before, 17
P18, during, 16
P18, after, 24
P20, before, 18
P20, during, 17
P20, after, 32
P21, before, 24
P21, during, 18
P21, after, 32
P22, before, 14
P22, during, 15
P22, after, 24
P23, before, 17
P23, during, 18
P23, after, 24
P24, before, 16
P24, during, 24
P24, after, 24
P25, before, 17
P25, during, 18
P25, after, 28
P26, before, 16
P26, during, 16
P26, after, 18
P27, before, 15
P27, during, 18
P27, after, 17
P28, before, 18
P28, during, 14
P28, after, 24
P29, before, 15
P29, during, 14
P29, after, 15
P30, before, 15
P30, during, 17
P30, after, 20
P31, before, 16
P31, during, 17
P31, after, 20
P32, before, 17
P32, during, 18
P32, after, 28
P33, before, 16
P33, during, 17
P33, after, 17
P34, before, 24
P34, during, 20
P34, after, 24
P35, before, 17
P35, during, 17
P35, after, 18
P36, before, 17
P36, during, 18
P36, after, 28
P37, before, 20
P37, during, 24
P37, after, 28
P38, before, 14
P38, during, 16
P38, after, 16
P39, before, 15
P39, during, 16
P39, after, 16
P40, before, 16
P40, during, 17
P40, after, 20
P41, before, 18
P41, during, 17
P41, after, 24
P42, before, 15
P42, during, 16
P42, after, 28
P43, before, 18
P43, during, 20
P43, after, 32
P44, before, 15
P44, during, 16
P44, after, 17
P45, before, 14
P45, during, 18
P45, after, 18
